	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
T2D-060	0.04031327625343788	0.026507566104753636	0.04255680483988282	3.7703026669071277e-06	0.06787253525208384	0.04225089536994758	0.12716835866076298	0.03140256766721761	0.08728031474861368	0.07402718693522387	0.1698893683743567	0.2907273554910525
T2D-087	0.03493776331085369	0.023943098021507327	0.03312713323075714	3.2971254233396303e-06	0.062391643883333965	0.0467349646493184	0.12847264106497153	0.0307803275103157	0.07551523980155705	0.08230917972202006	0.1661496983699816	0.3156350133099602
T2D-008	0.04468575337327447	0.027611320213044764	0.0497152956079438	2.6478189829216925e-06	0.07289834041418565	0.04143421052703792	0.12660323680725222	0.03037146051625969	0.08660687847817126	0.07088550483220678	0.16968388539156334	0.2795014660200772
T2D-088	0.040167631845365	0.026675007047040837	0.04644027564733741	1.66557455854444e-06	0.06836587789331733	0.038558549222968704	0.13058473919307065	0.03309312802935666	0.09539707166614456	0.06697401429083581	0.17896709178123055	0.27477494780877404
T2D-009	0.043854265047236864	0.02910012714094205	0.0444279692142087	9.920896539509663e-07	0.07032205386454027	0.04552304327845245	0.11822851625057192	0.03087068379683006	0.08997111268867662	0.06993220950967273	0.17860366833059163	0.2791653587886228
T2D-089	0.03972188143543457	0.025892017784910577	0.0553886275836108	0.0	0.06685115223395523	0.03723736852899775	0.12576570207583268	0.03132883999993431	0.09390162311428145	0.06574357812041218	0.16672413459607013	0.2914450745265603
T2D-036	0.04608602073552585	0.025528799196404058	0.05038911562852043	6.668834104855134e-06	0.0721906946845555	0.04321398547160867	0.1324566466188188	0.03208528569450371	0.0927484318649281	0.0637417933518003	0.17912716907769807	0.26242538884153155
T2D-039	0.04334180751965823	0.024708146639461123	0.042573026519975826	2.6468103103950114e-06	0.07627161333765166	0.041279901046840414	0.11812832733277652	0.03634904739623904	0.08422752598572358	0.06606719115208155	0.18502374447097417	0.2820270217883075
T2D-090	0.03766073943326468	0.027324166128607875	0.054033229895133456	5.385823198221104e-06	0.0651605645175497	0.042693711900968656	0.12082693715859368	0.0328492026222042	0.09080526176192516	0.06949620826110094	0.16534299714590006	0.29380159535155337
T2D-091	0.04044694699197068	0.02299826525924419	0.0421900609753901	9.733970033086128e-07	0.06800483573279505	0.0402659581074916	0.13283598849324788	0.032488399018607964	0.09346560869550782	0.07162324940472817	0.18127084897745943	0.2744088649465537
T2D-062	0.04014024356782669	0.02598867666068875	0.04965970648623415	4.403921212508822e-06	0.06852341473144309	0.041891539827692614	0.12488603927727387	0.03273417290816576	0.08951873602312993	0.06487003062345435	0.174910114209744	0.2868729217631341
T2D-063	0.036147353165527266	0.02944566427163103	0.059893826786890175	1.2811839923353334e-06	0.06395120933397683	0.04162810206895912	0.11597265799262808	0.033236975906818136	0.09164954354441998	0.07278937868218192	0.16624533258655508	0.2890386744764202
T2D-040	0.04708328859281345	0.028927590751078584	0.05635529773876357	3.798005296971483e-06	0.07809958104207616	0.03567732272839295	0.12227247463393183	0.03428297416817562	0.09710416896010308	0.0574524913825694	0.17611814539423756	0.2666228666025608
T2D-092	0.043063736480741875	0.02456005869487562	0.046193682048330666	1.2614830705089583e-06	0.07214460183740565	0.04375541242486095	0.11687341383756732	0.03312213096310463	0.07713334614793298	0.07411267148114521	0.16997576220983923	0.2990639223911253
